1,Canonis,Canicuties,83200,50,"Canicuties (Canis lupus adorabilis) are a peaceful species living in sparcely populated rural areas. 
They prefer large open fields and will eat almost anything. 
Occasionally they will get into minor territorial disputes but otherwise their history 
has not significant occurences of violence or war sto speak of.
They communicate non-verbally and by release sudden loud bursts of sonic energy (barking)."
2,Glooblarb,Glooblies,100000000,80,"Glooblies are a peacefull species of jellyfish-like creatures that inhabit almost all 
areas of their biosphere. Sea Glooblies also known as Blueblies, live in the water and inhabit the seas rivers and lakes. 
While the Ocean Blueblies stay primarily in the water, River and Lake Blueblies are known to nest 
on the riverbanks and shorlines as well. Sublies are the members of the species more adapted to Arid 
climates and are mainly found in deserts, where they inhabit build impressive Gloobie built sand structures. 
Flublies are the avian specialisation of the Glooblies. They float through the sky like jellyfish through the ocean, 
placidly sustaining themselves through photosynthesis."
3,Mimuhmuh,Muhkuhs,3000000,30,"Muhkuhs are a calm and peaceful bovine species. 
Since they wage no wars and have no internal or external drives from conflict their civilization developed 
completely unimpeded of setbacks caused by intraspecies conflict. They recently reached the information age 
stage of civilization developement and"
4,Terra,Terasians,7500000,10,"They are super-intelligent plants that are able to speak in a complex language 
through the spores they send out. They have figured out how to live a peaceful life in a large society. 
There has been no war on this planet for 2 million years and they built a dyson sphere around the sun to 
have enough energy for the planet without destroying it (and their very own kind)."
5,Gion,Gencats,332000,70,"Gencats are an evolution of the ancient domestic cats on Earth. Over a thousand years ago, 
some cats were sent from Earth into space for scientific purposes. After flying in space for a very long time, 
they settled on the planet Gion, where they now live a peaceful and fluffy cat life. Gencats live in small 
herds called 'Gens'. When fully grown, an individual cat is encouraged to travel and learn more about the 
other cat cultures on the planet."
6,Snackoo,Nibbles,11.300.000.000,60,"Small rabbit like creatures with very small mouths. 
Their entire industry and agriculture has developed to create foods that can be consumed in small nibbles.
The planet of Snackoo is covered with large high cliffs creating crater like valleys in which the 
various civilizations of Nibbles live in isolation from one another.
They recently discovered space flight and have started establishing first planetary communication satelites which now connect the entire planet. 
Making the exchange of knowledge on how to create even more fun, 
bite sized foods between the diffent valleys possible. This is truly their golden age for snacking."
7,Ground,Kangarafs,3.650.000.000,90,"Kangarafs are plump two legged creatures with extremely long necks. 
They move by hopping with their hind legs while their necks swing around to stabilize.
Currently their civilization is in the information age and has developped a media exchange system called Hip-Hop. 
Kangrafs can share videos of themselves talking and hopping about,
it is very hoppular among the young but older Kangrafs don't understand it."
8,Loompa,Hapalooms,2.000.000.000,50,"Hapalooms paloom through the upmooping ploompa, plamooping the hoolabloops around their dooploops. 
While the mainly paloom, they sometimes also mooloop and larool although they have also been found to loohap with lamooping."
9,Frotta,Stuffabears,4.350.000.000,75,"Wherever there is a child to be comforted, a cuddle needed or an arcade game won, the Stuffabears will be there. 
When bedtime comes, and it's time to sleep, a Stuffabear will be there to make sure it's deep."
10,Schrubba,Pricklypuhs,2.700.000.000,40,"Adorable space hedge hogs are very agreeable and well tempered creatures. 
Because of this social developement, science and intergalactic diplomacy have developed well.
They are now reaching the end of the cradle era and taking their first steps at spreading their sweet nature with the rest of the galaxy."